Pa_input,Pdyno,velocity(m/s),efficiency(%)
0,0,0,0
8.98,5,0.1235,55.67928731
413.2462427,142.2703527,1.412630303,34.4275006
809.5762315,169.9914526,1.809478788,20.99758441
1190.40404,197.7133633,2.0988,16.60892912
1200.47138,225.4546652,2.270184899,18.78051147
1210.538721,253.1959671,2.610087017,20.91597424
1220,281.5939563,2.966953086,23.08147183
1220,320.2435635,3.568593939,26.24947242
1220,358.8931707,4.738833333,29.41747301
1220,399.4102463,5.493745455,32.73854478
1220,461.3253978,6.637760474,37.8135572
1220,523.2405493,8.054708449,42.88856961
1220,584.1724683,9.114583916,47.8829892
1220,636.2880687,10.06470606,52.15475973
1220,688.4036692,11.34889697,56.42653026
1220.40404,736.3167629,11.5228,60.33385164
1223.75982,753.5282108,12.5250517,61.57484487
1227.1156,770.7396586,13.47637658,62.80905064
1230,787.1680788,14.36573372,63.99740478
1230,798.8051158,15.21561241,64.94350535
1230,810.4421529,16.21741212,65.88960593
1230,821.0601973,16.79820909,66.75286157
1230,826.3497596,17.53059298,67.18290728
1230,831.6393219,18.22960145,67.612953
1230,834.2241309,18.90352216,67.82310007
1230,824.5373745,19.77114992,67.0355589
1230,814.850618,20.16111818,66.24801772
1230,808.374091,20.74746364,65.72147081
1230,814.6849776,21.31579916,66.23455102
1230,820.9958643,21.86458981,66.74763124
1230.740741,825.5851604,22.42997179,67.08034705
1234.096521,824.0967205,22.9529397,66.77733115
1237.452301,822.6082805,23.41435758,66.4759587
1240,822.5681159,23.89894545,66.33613838
1240,827.0940419,24.26306103,66.70113241
1240,831.6199678,24.58393162,67.06612644
1239.124579,835.0183282,25.07994941,67.38776249
1235.768799,835.2219197,25.50811421,67.58723156
1232.413019,835.4255112,25.91505758,67.78778691
1230,835.0294877,26.33629091,67.88857624
1230,833.0987358,26.74672235,67.73160454
1230,831.1679838,27.14082754,67.57463283
1228.989899,827.5071889,27.66057546,67.33230188
1225.634119,819.82885,27.89276045,66.8901785
1222.278339,812.1505111,28.25190303,66.44562741
1209.225589,799.4986104,28.59936364,66.11658053
1175.667789,776.3296991,28.9248613,66.03308404
1142.109989,753.1607877,29.29807154,65.94468089
1103.744108,724.9657512,29.53262727,65.68241189
1056.092031,687.0633943,29.79209394,65.05715166
1008.439955,649.1610374,30.02012409,64.3728002
968.4696463,617.134509,30.22405251,63.72264855
942.0846856,595.4994921,30.41245474,63.21082395
915.6997249,573.8644753,30.6223372,62.66950395
887.5556119,549.5852528,30.73994545,61.92121884
856.5567342,521.0149946,30.883,60.8266766
825.5578565,492.4447365,31.01256334,59.64993642
797.5723906,472.6332815,31.12547747,59.25898227
774.0819304,465.8870414,31.26398423,60.18575336
750.5914703,459.1408012,31.32876167,61.17053276
732.3333333,450.7114962,31.41526364,61.54458301
721.2592593,439.9713167,31.49223636,61.0004393
710.1851852,429.2311371,31.57365312,60.43932569
697.4814815,417.4840456,31.65237146,59.85593262
682.7160494,404.4630579,31.71933758,59.24323271
667.9506173,391.4420703,31.76128533,58.60344465
656.5925926,380.5217301,31.80992727,57.95400898
649.2098765,372.0521454,31.85101515,57.3084543
641.8271605,363.5825606,31.89163035,56.64804841
637.1919192,357.2042026,31.93436233,56.05912314
635.5140292,353.0768176,31.95269368,55.55767479
633.8361392,348.9494326,31.97428446,55.05357158
631.989899,347.6682916,31.99850909,55.01168486
629.976431,349.2144196,32.00901818,55.43293406
627.962963,350.7605475,32.02523244,55.85688459
618.7710438,344.7031621,32.05371414,55.70770733
602.9988777,331.6758893,32.06975867,55.00439579
587.2267116,318.6486166,32.08384076,54.26330416
584,312.5178474,32.08816364,53.51333003
591.382716,312.2193064,32.09541515,52.79479734
598.7654321,311.9207654,32.10456061,52.0939835
594.6464646,308.9819263,32.10679883,51.96060932
581.5589226,303.9842832,32.11211766,52.27059054
568.4713805,298.9866401,32.11937457,52.59484476
567.9905746,307.2345608,32.11953636,54.09148929
576.5663322,324.9979727,32.11606667,56.36783741
585.1420898,342.7613846,32.11996061,58.57746188
588.2410054,332.52331,32.13304558,56.52841386
587.7191198,303.7731417,32.1401524,51.68678906
587.1972343,275.0229733,32.14241326,46.83655801
590.1313131,209.0455762,32.10583636,35.42356956
595.1649832,120.4516368,0.002627273,20.23836082
600.1986532,31.85769738,-0.018042424,5.307858858
546.4040404,0.758320102,0.012871329,0.138783765
459.8249158,1.700183177,-0.119919114,0.36974577
373.2457912,2.642046252,-0.197253843,0.707856944
